Adj Close,Predicted
485.809998,487.1781
487.269989,484.1288
488.769989,485.30783
499.890015,491.14673
491.899994,493.32767
492.410004,488.88626
498.339996,489.83084
500.769989,498.12863
497.0,498.19742
508.820007,503.14603
512.73999,508.73303
518.059998,514.6074
527.070007,529.49835
533.030029,525.0754
533.5,528.2071
528.210022,527.9758
533.539978,525.67255
533.97998,529.3782
541.640015,532.6342
535.960022,536.50616
530.76001,528.94586
535.97998,528.8523
537.309998,532.6378
540.679993,535.34015
547.950012,545.23834
542.950012,551.65326
530.309998,535.0971
532.280029,525.72076
531.049988,530.9125
513.630005,532.4935
511.769989,508.5837
515.409973,508.7792
516.48999,509.5966
518.909973,513.09515
519.299988,516.3244
514.25,512.1854
517.570007,509.75235
515.150024,511.0098
510.820007,507.04007
517.349976,508.1826
524.890015,514.27014
520.549988,517.896
519.969971,514.0731
515.840027,512.3021
512.400024,509.2325
510.720001,504.3901
515.919983,509.85583
517.919983,511.4233
518.909973,511.7962
521.869995,517.26416
543.710022,535.2292
546.880005,543.5147
553.330017,544.8122
553.409973,547.72
547.580017,545.014
550.119995,542.90753
558.919983,552.6887
566.179993,556.7524
569.190002,562.38434
582.070007,578.7045
588.549988,592.47485
590.530029,584.6407
606.710022,604.29364
606.049988,607.9247
597.539978,602.78156
598.719971,600.64856
589.289978,591.7688
577.76001,581.45795
582.869995,576.98865
586.5,579.2653
589.349976,586.5402
575.429993,581.34705
573.140015,573.1192
590.650024,584.91144
593.26001,590.67804
592.390015,586.5108
592.640015,583.43225
583.849976,590.267
599.059998,599.6042
610.340027,616.93427
613.150024,606.18036
603.349976,613.5833
634.809998,628.333
639.099976,633.7221
631.849976,640.5164
632.659973,636.3992
627.039978,632.4543
624.940002,630.74225
629.76001,627.2697
633.799988,630.94995
628.289978,635.69446
637.969971,632.68445
639.0,644.509
625.140015,639.2326
653.159973,646.17676
664.780029,662.12256
671.659973,667.44696
668.52002,671.4832
662.919983,666.7503
674.049988,672.4119
690.309998,680.64764
681.169983,686.4359
677.719971,684.02637
688.289978,681.12506
668.400024,683.14307
645.719971,662.3504
651.450012,649.88617
655.98999,654.1154
646.909973,650.8243
657.580017,655.20123
682.609985,668.12494
679.330017,679.9919
687.400024,680.546
691.690002,693.1519
682.02002,687.12463
678.799988,687.545
659.200012,670.7729
654.059998,655.8689
658.289978,655.15497
665.640015,671.0798
663.840027,662.80646
641.900024,665.83887
617.77002,641.3712
616.469971,618.15796
602.130005,616.0358
612.690002,607.0253
625.580017,619.38336
628.080017,626.6604
611.0,620.8409
611.659973,612.0183
604.559998,606.03235
597.98999,594.81573
605.039978,594.27655
591.059998,594.6712
586.72998,589.5499
593.73999,590.0904
604.919983,597.1327
614.23999,604.5903
614.090027,610.2445
613.119995,610.50104
610.710022,611.46423
610.539978,605.72943
612.090027,611.6281
602.440002,605.8217
597.369995,600.74304
591.150024,594.73145
567.52002,583.86255
553.289978,555.0654
541.059998,544.6939
539.849976,535.39484
540.840027,533.8359
537.219971,538.3735
519.200012,531.05975
525.690002,527.2003
510.799988,516.13824
515.859985,514.69
508.25,529.95465
397.5,486.06552
387.149994,416.69647
366.420013,389.87137
359.700012,380.47055
386.700012,414.02673
384.359985,389.13535
427.140015,431.53635
457.130005,466.52127
429.480011,455.62582
405.600006,423.1403
410.170013,406.28412
